VERB,PP_ADJ_Count,Past_Participle,VERB_COUNT,Total_Count
normalize,1048743,normalized,984860,1032865030980
insulate,535300,insulated,1928171,1032149936300
heal,159727,healed,6436919,1028149761113
torture,486948,tortured,2110747,1027824030156
rotate,195424,rotated,5195607,1015346302368
reconcile,174100,reconciled,5804040,1010483364000
capture,60646,captured,16656846,1010171082516
overlook,121430,overlooked,8301187,1008013137410
conserve,406349,conserved,2450992,995958148208
alarm,272911,alarmed,3645493,994895140123
encourage,32177,encouraged,30733292,988905136684
possess,27882,possessed,35310046,984514702572
designate,77269,designated,12672737,979209715253
realize,25388,realized,37971362,964016938456
announce,51691,announced,18619740,962472980340
water,337956,watered,2847495,962328020220
branch,538729,branched,1785598,961953424942
dignify,2111356,dignified,455087,960850667972
soften,251267,softened,3802740,955503071580
shrink,184759,shrunken,5165268,954329750412
pair,516694,paired,1845567,953593395498
inscribe,337738,inscribed,2815297,950832778186
elongate,1219353,elongated,772350,941767289550
doom,384231,doomed,2441269,938011229139
lie,16965,lied,55150656,935630879040
match,67668,matched,13760689,931158303252
man,329161,manned,2813749,926176434589
lade,2589595,laden,354962,919207820390
exclude,49687,excluded,18450851,916767433637
inflame,690948,inflamed,1324834,915391402632
avow,781881,avowed,1167838,913110343278
felt,12258,felt,73955513,906546678354
notice,34883,noticed,25886757,903007744431
transform,52024,transformed,17302933,900167786392
irrigate,728414,irrigated,1235089,899656118846
roast,565646,roasted,1585570,896871328220
bite,156462,bitten,5720131,894983136522
couple,127427,coupled,7016959,894150034493
examine,20416,examined,43557655,889273084480
segregate,586428,segregated,1509386,885146213208
polarize,1033902,polarized,854888,883870412976
diffuse,272062,diffused,3233227,879638204074
fry,1139453,fried,769262,876537893686
resign,113731,resigned,7680989,873566559959
disseminate,430406,disseminated,2020269,869535899214
contrast,115195,contrasted,7519772,866240135540
distress,1703960,distressed,507728,865148202880
weld,395724,welded,2171948,859491950352
deform,726373,deformed,1181387,858127619351
engrave,392585,engraved,2166610,850578586850
attain,48372,attained,17580715,850414345980
infer,139699,inferred,6051314,845362514486
inherit,103636,inherited,8143284,843937380624
skin,834585,skinned,1006047,839631735495
ascertain,91153,ascertained,9115158,830873997174
exercise,36985,exercised,22406106,828689830410
emit,220738,emitted,3747253,827161132714
reproduce,69910,reproduced,11711065,818720554150
impoverish,1086637,impoverished,752700,817911669900
forge,228492,forged,3530770,806752698840
nominate,212530,nominated,3783272,804058798160
flower,488786,flowered,1620501,792078201786
slice,390419,sliced,2022747,789718860993
annoy,275787,annoyed,2863254,789648230898
